acceptor,tin_reagents,ring_b1,ring_b2,chain1,chain2,PCE
Y6,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1cnc(*)c2nsnc12,-,-,21.14994430541992
L8-BO,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1ccc(*)c2nsnc12,-,-,21.149070739746094
ZY-4Cl,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1cnc(*)cn1,-,-,21.140857696533203
L8-BO,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1cnc(*)c2nsnc12,-,-,21.129528045654297
Y7,*c1cc2c(-c3cc(F)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(F)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1ccc(*)c2nsnc12,-,-,21.109106063842773
Y12,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1ccc(*)s1,-,-,21.108421325683597
Y7,*c1cc2c(-c3cc(F)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(F)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1cnc(*)c2nsnc12,-,-,21.088743209838867
Y6,*c1cc2c(-c3cc(F)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(F)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1ccc(*)c2nsnc12,-,-,21.076431274414062
L8-BO,*c1cc2c(-c3cc(F)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(F)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1ccc(*)c2nsnc12,-,-,21.06011962890625
Y6,*c1cc2c(-c3cc(F)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(F)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1cnc(*)c2nsnc12,-,-,21.05593490600586
